Bottle ID,Date and time,Pressure (mbar),Methane (%),CO2(%),Initial mass (g),Final mass (g),Time (d),xCH4
id,date.time,pres,c.CH4,c.CO2,m.init,m.final,time.d,xCH4
26,1/24/2018 7:13,2361,44.94,16.43,224.683,224.5712,0.627,0.732
26,1/25/2018 6:38,3655,69.91,23.05,224.5724,224.3983,1.603,0.752
26,1/25/2018 16:06,1614,63.24,35.97,224.398,224.3141,1.997,0.637
26,1/26/2018 9:20,2625,65.38,28.95,224.3096,224.1837,2.715,0.693
26,1/27/2018 7:00,2488,72.12,28.01,224.1846,224.0689,3.618,0.720
26,1/28/2018 9:18,1360,65.68,32.75,224.0688,224.0039,4.714,0.667
26,1/29/2018 6:58,770,60.66,37,224.0032,223.9659,5.617,0.621
26,1/31/2018 7:46,1153,64.62,33.76,223.9661,223.9113,7.650,0.657
26,2/2/2018 7:10,877,61.51,35.5,223.911,223.8692,9.625,0.634
26,2/5/2018 7:40,968,64.78,35.51,223.8663,223.8215,12.646,0.646
26,2/8/2018 8:03,800,63.51,36.48,223.8203,223.7848,15.662,0.635
26,2/12/2018 7:40,838,61.96,34.86,223.7858,223.7474,19.646,0.640
26,2/16/2018 16:52,768,60.98,35.44,223.7458,223.7098,24.029,0.632
26,2/22/2018 6:45,744,60.2,34.76,223.709,223.675,29.608,0.634
26,3/5/2018 7:55,1018,66.05,32.58,223.673,223.6287,40.656,0.670
26,3/26/2018 15:20,1240,67.11,29.27,223.6256,223.5712,61.965,0.696
26,4/17/2018 8:04,978,64.56,33.94,223.5657,223.5182,83.662,0.655
27,1/23/2018 16:10,0,0,0,,225.6227,0.000,
27,1/24/2018 7:13,2292,42.85,16.54,225.6205,225.5058,0.627,0.722
27,1/25/2018 6:38,3465,70.62,24.05,225.5059,225.3365,1.603,0.746
27,1/25/2018 16:06,1544,61.42,35.19,225.3369,225.253,1.997,0.636
27,1/26/2018 9:20,2460,71.03,29.33,225.2476,225.1248,2.715,0.708
27,1/27/2018 7:00,2454,72.56,27.64,225.1236,225.0043,3.618,0.724
27,1/28/2018 9:18,1420,66.39,31.85,225.005,224.9355,4.714,0.676
27,1/29/2018 6:58,754,60.06,35.97,224.9342,224.8969,5.617,0.625
27,1/31/2018 7:46,1142,63.42,32.78,224.8964,224.8378,7.650,0.659
27,2/2/2018 7:10,852,63.55,36.6,224.838,224.7954,9.625,0.635
27,2/5/2018 7:40,927,64.57,35.85,224.7933,224.7465,12.646,0.643
27,2/8/2018 8:03,736,61.36,35.71,224.7461,224.7114,15.662,0.632
27,2/12/2018 7:40,792,62.76,35.65,224.7119,224.6756,19.646,0.638
27,2/16/2018 16:52,736,61.96,36.07,224.6748,224.638,24.029,0.632
27,2/22/2018 6:45,722,61.87,35.75,224.6359,224.6037,29.608,0.634
27,3/5/2018 7:55,976,65.26,32.18,224.6021,224.5541,40.656,0.670
27,3/26/2018 15:20,1194,64.97,29.32,224.5521,224.4913,61.965,0.689
27,4/17/2018 8:04,948,63.11,33.36,224.4852,224.4385,83.662,0.654
