black,dist2ctr
0,6.700
0,6.700
0,6.700
0,6.700
0,6.700
0,6.700
0,6.791
0,6.871
0,6.301
0,6.372
0,4.996
0,5.069
0,4.503
0,4.598
0,4.256
0,4.261
0,0.965
0,0.383
0,1.016
1,2.030
0,2.030
0,2.030
0,23.56
0,23.56
0,23.56
0,23.56
0,19.858
0,19.858
0,19.858
0,19.858
0,19.858
0,19.858
0,19.858
0,19.858
0,19.858
0,25.547
0,25.547
0,25.547
0,13.919
0,13.919
0,13.919
0,10.896
0,11.276
0,10.35
0,10.338
0,10.338
0,10.338
0,9.245
1,7.223
0,9.016
0,4.823
0,4.019
1,9.692
0,9.692
0,9.692
0,9.692
0,11.662
0,8.145
0,2.300
0,2.157
0,9.971
1,9.971
1,1.536
0,0.904
0,0.986
0,1.990
0,4.774
1,3.441
0,3.441
0,3.441
0,3.441
0,3.441
1,1.326
1,0
1,0.193
0,2.134
0,4.813
1,0.162
1,0.162
1,0.162
0,6.737
1,0.525
1,0.696
1,0.696
1,0.307
1,0.307
1,0.307
1,2.128
0,2.128
0,2.128
0,2.128
0,2.128
0,2.142
1,2.129
0,2.129
1,1.727
0,1.727
0,1.727
0,1.727
0,1.527
0,1.416
0,0.844
0,3.223
0,3.223
0,3.223
0,3.223
1,0.371
1,3.198
1,2.174
1,7.878
0,2.040
0,2.040
1,3.799
1,3.799
1,3.799
0,3.799
0,3.799
0,3.799
0,3.799
0,1.090
0,1.090
0,0.942
0,0.942
1,0.942
1,0.942
1,1.296
1,1.296
0,1.296
0,1.296
0,1.296
1,5.600
0,1.021
0,1.021
1,4.995
0,13.654
1,0.495
0,1.454
1,1.454
1,1.701
0,1.701
0,1.701
0,1.701
0,1.701
0,1.701
0,1.498
0,1.498
0,9.073
0,9.073
0,1.075
0,1.075
1,6.095
1,1.373
0,1.373
0,1.373
1,0.887
1,1.803
0,1.803
0,1.803
0,1.803
1,1.244
1,1.244
1,1.244
0,1.244
0,1.244
0,4.933
1,4.933
1,1.625
1,1.625
1,1.625
1,1.625
1,1.625
1,1.625
1,1.625
0,1.625
0,1.625
0,1.625
0,1.625
0,1.625
0,1.625
0,1.625
0,1.625
0,1.625
0,1.625
0,1.625
1,1.093
0,1.093
0,0.907
0,2.265
0,1.859
0,2.129
1,2.169
1,2.169
1,2.169
1,1.444
0,1.444
0,1.444
0,1.050
0,1.728
0,1.557
0,1.447
0,1.985
0,1.985
0,1.985
0,2.857
0,2.857
0,2.857
0,2.857
0,2.241
1,0.914
0,2.524
0,1.604
0,3.279
1,3.006
0,3.006
0,2.553
0,5.008
0,3.953
0,1.743
0,5.229
0,5.229
0,2.113
0,2.113
0,2.133
1,2.590
0,2.544
0,1.399
0,1.399
0,1.694
1,2.669
1,2.448
1,2.222
1,2.700
0,2.299
0,2.299
0,2.299
1,3.412
0,3.412
0,1.240
0,2.020
0,1.791
1,1.906
0,1.906
0,2.826
0,1.478
0,1.478
0,1.478
0,2.504
0,2.504
1,2.455
1,2.455
1,2.455
1,2.364
1,2.322
0,2.322
0,2.322
1,2.458
1,2.397
0,2.119
1,2.310
0,2.310
1,1.553
1,1.553
1,2.584
0,2.584
0,2.584
0,2.584
0,2.406
1,2.398
1,2.014
0,2.014
0,2.014
0,2.014
0,1.602
0,2.141
1,2.141
1,2.141
1,2.141
1,2.697
0,1.612
0,1.612
1,2.766
0,2.766
0,1.446
0,2.479
0,2.479
0,1.711
0,1.707
0,2.320
0,2.320
1,2.313
0,1.886
0,6.117
0,1.718
0,3.249
1,2.457
1,2.457
0,2.457
0,2.457
0,1.829
0,1.829
1,5.873
1,5.873
0,5.873
1,2.755
0,2.755
0,1.742
0,1.742
0,1.760
0,1.760
1,2.503
0,2.282
1,4.915
0,4.915
0,4.915
0,4.915
0,4.915
0,4.915
0,4.915
0,4.915
0,4.915
1,4.906
0,4.906
0,4.906
0,4.906
0,4.906
0,4.906
0,4.906
0,4.906
0,2.605
1,2.605
0,2.605
