black,dist2ctr
0,2.517
0,2.517
0,3.435
0,3.435
0,2.503
0,3.693
0,3.208
0,2.596
1,2.596
0,3.680
1,5.110
1,5.110
0,5.110
0,5.110
0,5.110
0,5.110
0,5.110
0,5.110
0,5.110
0,5.110
0,5.110
0,1.839
0,1.839
0,3.647
0,3.647
0,2.205
0,3.695
0,1.829
1,2.483
0,2.476
0,2.494
0,3.358
1,3.358
1,3.358
0,3.358
1,2.369
0,2.369
0,2.369
1,5.534
0,5.534
0,5.534
0,5.534
0,5.534
0,5.534
0,5.534
0,5.534
0,2.482
0,2.898
0,3.391
1,2.542
1,4.955
0,4.955
0,4.955
0,4.955
0,4.955
0,4.955
0,4.955
0,4.955
0,4.955
0,4.955
0,4.955
0,4.955
0,4.955
0,3.862
0,3.862
1,3.410
1,3.410
1,3.410
0,3.410
0,3.410
0,3.410
0,3.410
0,3.410
0,3.410
0,3.410
0,3.410
0,3.410
1,2.748
1,2.748
0,2.748
0,2.748
0,2.748
0,2.748
0,3.183
1,1.911
0,1.911
1,2.715
1,2.715
1,2.715
0,3.327
0,3.327
0,2.945
1,2.559
0,3.175
0,3.039
0,3.042
0,3.042
0,2.356
1,3.189
1,3.921
0,3.921
0,3.921
1,2.849
1,2.849
1,2.849
0,2.129
0,2.129
0,2.129
0,2.129
0,2.129
0,2.129
1,3.736
0,3.229
0,3.005
1,3.769
0,3.245
1,2.988
0,2.988
0,2.988
0,2.988
0,2.988
0,2.988
1,2.940
0,2.940
0,2.940
0,2.940
0,2.940
0,2.940
0,3.047
1,3.047
1,2.949
1,2.949
0,2.949
0,2.949
0,2.949
0,2.949
0,6.047
0,6.047
1,2.280
1,2.117
1,2.117
0,2.117
0,2.117
0,2.117
0,2.117
0,2.117
0,2.577
0,2.577
0,2.577
0,2.577
0,2.577
0,2.577
0,4.665
0,4.665
1,4.665
0,4.665
0,4.665
0,4.665
0,4.665
0,4.665
0,4.665
0,4.089
0,4.089
0,2.700
1,4.658
1,2.984
0,4.652
1,3.439
1,3.184
0,2.101
1,2.101
0,2.475
0,6.302
1,3.199
1,3.326
0,3.326
0,3.127
1,3.025
1,2.425
0,2.892
0,2.892
1,2.531
1,2.218
0,2.218
0,2.218
0,2.218
0,2.218
0,2.218
1,2.218
0,2.218
0,2.218
0,2.218
0,2.218
0,2.218
0,2.908
1,3.719
0,6.604
0,6.604
0,6.604
0,6.604
1,6.602
0,2.855
0,2.855
0,2.855
0,2.855
1,2.371
0,3.834
1,3.834
0,2.851
0,3.131
0,6.621
0,2.761
0,3.377
0,3.594
0,2.832
1,2.832
0,3.431
0,3.554
0,3.508
1,3.093
0,3.093
1,3.450
0,2.433
0,2.341
0,2.460
0,2.460
0,2.460
0,2.460
0,3.911
0,3.222
0,3.668
0,4.754
0,3.668
0,3.668
1,3.007
0,3.007
0,3.007
1,2.616
1,2.616
0,3.159
0,9.224
0,9.224
1,3.158
0,3.158
0,3.158
0,2.458
0,2.458
0,2.458
0,3.889
0,3.304
1,3.302
1,3.302
0,3.650
0,3.650
0,3.650
0,3.720
0,3.370
1,3.369
0,3.854
0,4.512
0,3.889
0,3.616
1,3.770
0,4.266
0,4.266
0,3.729
0,4.269
1,2.723
1,2.697
0,3.892
0,3.892
0,3.892
0,4.670
0,3.968
0,3.968
0,3.968
0,3.968
1,2.789
0,2.789
0,3.959
0,3.959
0,3.959
0,3.959
0,3.809
0,2.913
0,3.940
0,3.940
0,3.940
0,3.099
0,3.099
0,3.979
0,3.979
0,3.979
0,3.979
0,3.979
0,3.979
0,3.727
1,3.722
1,3.339
1,4.007
0,4.007
0,3.603
0,3.641
1,3.657
1,3.379
1,3.380
0,4.199
0,3.781
0,3.781
1,3.416
0,3.379
0,4.168
0,3.814
0,4.228
0,3.481
0,4.219
0,3.501
0,3.876
1,4.460
0,3.979
0,3.599
1,3.599
1,3.599
0,3.153
0,3.153
0,3.153
0,4.055
1,3.195
0,3.438
1,3.798
0,3.798
1,3.985
1,3.540
0,3.963
0,4.400
1,4.374
0,3.590
1,3.590
1,3.590
1,4.395
1,4.395
1,4.051
0,3.632
1,3.632
1,3.632
0,3.411
0,3.411
0,3.411
0,3.411
1,3.672
0,4.522
1,3.524
0,3.524
1,4.483
0,4.483
0,3.532
1,3.299
0,3.299
0,3.784
0,3.784
1,3.396
0,3.628
0,3.561
1,4.016
1,4.016
0,3.703
0,3.769
0,4.140
0,4.140
0,4.030
0,4.019
0,4.019
0,4.268
0,4.230
0,5.937
1,5.930
1,5.443
1,5.443
0,5.443
0,5.443
0,5.443
0,5.443
0,5.443
0,5.443
0,5.443
0,5.443
1,5.459
1,5.459
1,5.459
1,5.459
1,5.459
1,5.459
0,5.459
0,5.459
0,5.459
0,5.459
0,5.459
0,5.459
0,5.459
0,5.459
0,5.459
0,5.459
0,5.459
0,5.459
0,4.756
0,4.830
1,4.792
0,4.961
0,4.961
0,5.032
0,5.032
0,5.032
1,6.316
1,6.316
0,6.316
0,6.316
0,6.316
0,6.316
0,6.316
0,6.316
0,4.628
0,4.628
0,4.628
0,5.128
1,5.229
0,4.993
0,6.888
0,6.440
0,6.184
0,6.184
0,6.184
0,6.184
0,6.184
0,6.184
0,6.184
0,6.184
0,6.184
0,6.184
0,6.184
0,6.184
0,6.184
0,6.184
0,6.184
0,6.184
0,6.184
0,6.184
0,6.184
0,6.184
0,6.184
0,6.184
0,6.184
0,6.184
0,6.184
0,6.184
0,6.184
0,6.184
0,6.184
0,6.537
0,6.537
0,10.866
0,10.866
0,7.593
0,13.529
0,18.717
0,18.717
0,18.717
0,11.32
0,11.32
0,13.594
0,15.623
0,15.623
0,15.623
0,15.623
0,15.623
0,11.843
0,14.044
1,15.999
0,15.999
0,15.999
0,15.999
0,15.999
0,15.999
0,15.999
0,15.999
0,15.999
0,17.10
0,21.101
0,23.661
1,21.40
0,23.087
0,24.237
0,25.309
0,26.257
0,25.914
0,29.271
0,29.271
0,30.48
0,45.905
0,1.798
1,1.428
0,1.803
1,1.764
1,1.951
0,1.953
0,1.772
0,1.967
0,1.743
1,1.765
1,2.201
0,1.522
0,1.599
0,1.667
0,2.113
0,2.326
1,2.455
0,2.491
1,2.542
0,2.403
0,2.550
0,2.547
1,2.565
0,2.569
0,2.557
1,2.558
0,2.175
0,2.507
1,2.601
1,2.517
0,2.356
1,2.707
0,2.692
0,2.691
0,2.683
0,2.273
1,2.397
0,2.448
0,2.410
1,2.595
0,2.720
0,2.655
0,2.824
1,2.832
0,2.912
0,2.964
0,2.983
0,2.968
1,3.036
0,3.210
0,3.231
1,3.309
0,3.368
0,3.441
0,3.443
0,3.660
0,3.753
0,6.958
0,7.071
0,6.973
1,6.914
0,6.926
1,6.919
0,6.752
0,6.924
0,6.898
0,6.745
0,6.725
0,6.813
0,6.847
0,6.813
0,7.168
1,7.202
0,6.794
0,6.797
0,7.114
0,7.188
0,7.505
0,7.501
0,7.536
0,7.581
0,7.308
0,7.630
0,7.429
0,7.522
0,7.601
1,7.438
0,7.597
0,7.453
0,7.312
0,7.138
0,7.163
1,7.605
0,7.172
0,7.186
0,7.613
0,7.322
0,7.544
0,7.592
0,7.640
0,7.327
0,7.658
1,7.314
0,7.674
0,7.689
1,7.482
0,7.478
0,7.477
0,7.470
0,7.656
0,7.578
0,7.514

