obs,statenum,casenum,vnumber,pnumber,atmcond,atmcond2,accday,accmon,caseyear,dayofweek,holiday,numfatal,rfun,age,ptype,sex
392,36,157,0,1,10,0,5,2,2011,7,0,1,16,999,5,2
393,36,157,0,2,10,0,5,2,2011,7,0,1,16,999,5,2
394,36,157,1,1,10,0,5,2,2011,7,0,1,16,52,1,1
395,36,158,1,1,1,0,10,4,2011,1,0,1,2,35,1,1
396,36,159,1,1,1,0,12,2,2011,7,0,1,13,25,1,1
397,36,160,1,1,2,0,16,4,2011,7,0,1,15,56,1,1
398,36,161,1,1,10,0,13,2,2011,1,0,1,16,70,1,2
399,36,161,2,1,10,0,13,2,2011,1,0,1,16,23,1,1
400,36,162,0,1,1,0,2,4,2011,7,0,1,16,72,5,1
401,36,162,1,1,1,0,2,4,2011,7,0,1,16,38,1,1
402,36,162,1,2,1,0,2,4,2011,7,0,1,16,16,2,2
403,36,163,1,1,10,0,20,4,2011,4,0,1,2,37,1,1
404,36,163,2,1,10,0,20,4,2011,4,0,1,2,27,1,1
405,36,164,1,1,1,0,19,3,2011,7,0,1,2,24,1,1
406,36,165,1,1,4,0,23,3,2011,4,0,1,16,81,1,1
407,36,165,2,1,4,0,23,3,2011,4,0,1,16,52,1,1
408,36,166,0,1,1,0,18,4,2011,2,0,1,16,30,5,2
409,36,166,1,1,1,0,18,4,2011,2,0,1,16,40,1,1
410,36,167,1,1,10,0,20,4,2011,4,0,1,14,86,1,1
411,36,168,1,1,10,0,23,4,2011,7,0,1,6,50,1,1
412,36,169,1,1,1,0,21,4,2011,5,0,1,1,31,1,1
413,36,169,2,1,1,0,21,4,2011,5,0,1,1,36,1,1
414,36,170,1,1,1,0,3,4,2011,1,0,1,16,42,1,1
415,36,170,2,1,1,0,3,4,2011,1,0,1,16,21,1,1
416,36,171,1,1,10,0,25,4,2011,2,0,1,2,69,1,1
417,36,171,2,1,10,0,25,4,2011,2,0,1,2,54,1,1
418,36,172,1,1,10,0,19,4,2011,3,0,1,13,23,1,1
419,36,172,2,1,10,0,19,4,2011,3,0,1,13,71,1,1
420,36,173,1,1,1,0,10,1,2011,2,0,1,1,44,1,1
421,36,173,2,1,1,0,10,1,2011,2,0,1,1,998,1,8
422,36,174,0,1,2,0,21,3,2011,2,0,1,16,82,5,2
423,36,174,1,1,2,0,21,3,2011,2,0,1,16,45,1,1
424,36,174,2,1,2,0,21,3,2011,2,0,1,16,53,1,1
425,36,175,0,1,1,0,28,1,2011,6,0,1,14,84,5,2
426,36,175,1,1,1,0,28,1,2011,6,0,1,14,65,1,2
427,36,176,1,1,10,0,29,1,2011,7,0,1,16,24,1,1
428,36,177,0,1,10,0,31,3,2011,5,0,1,6,83,10,2
429,36,177,1,1,10,0,31,3,2011,5,0,1,6,44,1,1
430,36,178,0,1,1,0,28,3,2011,2,0,1,6,88,5,2
431,36,178,1,1,1,0,28,3,2011,2,0,1,6,35,1,1
432,36,179,1,1,1,0,9,4,2011,7,0,2,6,58,1,1
433,36,179,1,2,1,0,9,4,2011,7,0,2,6,43,2,1
434,36,180,1,1,10,0,17,4,2011,1,0,1,4,82,1,2
435,36,181,1,1,2,0,13,4,2011,4,0,1,6,31,1,2
436,36,182,0,1,1,0,15,4,2011,6,0,1,13,30,5,1
437,36,182,1,1,1,0,15,4,2011,6,0,1,13,47,1,1
438,36,183,0,1,10,0,29,4,2011,6,0,1,14,83,5,1
439,36,183,1,1,10,0,29,4,2011,6,0,1,14,38,1,1
440,36,184,1,1,1,0,11,4,2011,2,0,1,16,87,1,1
441,36,184,1,2,1,0,11,4,2011,2,0,1,16,86,2,2
442,36,185,0,1,10,0,29,4,2011,6,0,1,13,64,5,1
443,36,185,1,1,10,0,29,4,2011,6,0,1,13,999,1,9
444,36,186,1,1,1,0,27,4,2011,4,0,1,1,39,1,1
445,36,187,1,1,1,0,29,4,2011,6,0,1,6,66,1,2
446,36,187,2,1,1,0,29,4,2011,6,0,1,6,28,1,2
447,36,187,2,2,1,0,29,4,2011,6,0,1,6,0,2,1
448,36,188,1,1,1,0,29,3,2011,3,0,1,13,63,1,1
449,36,188,2,1,1,0,29,3,2011,3,0,1,13,23,1,1
450,36,189,1,1,10,0,24,4,2011,1,0,1,4,25,1,1
451,36,189,1,2,10,0,24,4,2011,1,0,1,4,44,2,1
452,36,190,0,1,1,0,9,4,2011,7,0,1,1,27,5,1
453,36,190,0,2,1,0,9,4,2011,7,0,1,1,55,5,1
454,36,190,3,1,1,0,9,4,2011,7,0,1,1,63,1,1
455,36,191,1,1,1,0,28,3,2011,2,0,1,3,33,1,2
456,36,192,0,1,1,0,28,2,2011,2,0,1,13,51,5,1
457,36,192,1,1,1,0,28,2,2011,2,0,1,13,55,1,1
458,36,192,1,2,1,0,28,2,2011,2,0,1,13,23,2,1
459,36,193,0,1,10,0,25,3,2011,6,0,1,13,28,6,1
460,36,193,1,1,10,0,25,3,2011,6,0,1,13,53,1,1
461,36,194,1,1,10,0,17,4,2011,1,0,1,13,85,1,1
462,36,194,2,1,10,0,17,4,2011,1,0,1,13,41,1,2
463,36,194,2,2,10,0,17,4,2011,1,0,1,13,37,2,1
464,36,194,2,3,10,0,17,4,2011,1,0,1,13,37,2,1
465,36,194,2,4,10,0,17,4,2011,1,0,1,13,999,2,1
466,36,195,1,1,1,0,26,3,2011,7,0,1,2,26,1,1
467,36,196,1,1,1,0,28,4,2011,5,0,1,5,63,1,1
468,36,197,1,1,1,0,17,4,2011,1,0,1,13,61,1,2
469,36,197,2,1,1,0,17,4,2011,1,0,1,13,60,1,1
470,36,197,3,1,1,0,17,4,2011,1,0,1,13,47,1,2
471,36,198,0,1,10,0,12,4,2011,3,0,1,14,36,6,1
472,36,198,1,1,10,0,12,4,2011,3,0,1,14,29,1,2
473,36,199,1,1,1,0,20,4,2011,4,0,1,6,54,1,1
474,36,199,2,1,1,0,20,4,2011,4,0,1,6,61,1,1
475,36,199,2,2,1,0,20,4,2011,4,0,1,6,22,2,2
476,36,199,2,3,1,0,20,4,2011,4,0,1,6,33,2,2
477,36,199,2,4,1,0,20,4,2011,4,0,1,6,24,2,1
478,36,199,2,5,1,0,20,4,2011,4,0,1,6,31,2,2
479,36,199,2,6,1,0,20,4,2011,4,0,1,6,24,2,1
480,36,199,2,7,1,0,20,4,2011,4,0,1,6,31,2,1
481,36,199,2,8,1,0,20,4,2011,4,0,1,6,36,2,1
482,36,200,1,1,1,0,29,4,2011,6,0,1,16,40,1,1
483,36,200,2,1,1,0,29,4,2011,6,0,1,16,61,1,2
484,36,200,3,1,1,0,29,4,2011,6,0,1,16,41,1,1
485,36,201,1,1,10,0,7,5,2011,7,0,1,6,32,1,2
486,36,201,1,2,10,0,7,5,2011,7,0,1,6,35,2,1
487,36,201,1,3,10,0,7,5,2011,7,0,1,6,12,2,2
488,36,202,1,1,2,0,27,2,2011,1,0,1,13,21,1,1
489,36,203,1,1,10,0,5,2,2011,7,0,1,13,21,1,1
490,36,203,1,2,10,0,5,2,2011,7,0,1,13,21,2,2
491,36,203,2,1,10,0,5,2,2011,7,0,1,13,44,1,1
492,36,204,0,1,10,0,27,2,2011,1,0,1,13,33,5,1
493,36,204,1,1,10,0,27,2,2011,1,0,1,13,24,1,1
494,36,205,0,1,1,0,6,2,2011,1,0,1,15,40,5,1
495,36,205,0,2,1,0,6,2,2011,1,0,1,15,44,5,1
496,36,205,1,1,1,0,6,2,2011,1,0,1,15,32,1,1
497,36,205,1,2,1,0,6,2,2011,1,0,1,15,10,2,1
498,36,206,1,1,1,0,27,2,2011,1,0,1,6,22,1,1
499,36,206,2,1,1,0,27,2,2011,1,0,1,6,20,1,1
500,36,206,2,2,1,0,27,2,2011,1,0,1,6,20,2,2
501,36,207,1,1,1,0,9,5,2011,2,0,1,5,58,1,1
502,36,207,2,1,1,0,9,5,2011,2,0,1,5,66,1,2
503,36,208,0,1,1,0,5,1,2011,4,0,1,13,82,5,1
504,36,208,1,1,1,0,5,1,2011,4,0,1,13,27,1,1
505,36,208,1,2,1,0,5,1,2011,4,0,1,13,2,2,1
506,36,209,1,1,10,0,8,4,2011,6,0,1,6,25,1,1
507,36,210,0,1,10,0,11,4,2011,2,0,1,16,68,5,1
508,36,210,1,1,10,0,11,4,2011,2,0,1,16,78,1,2
509,36,211,1,1,10,0,7,5,2011,7,0,1,6,54,1,1
510,36,212,1,1,1,0,18,4,2011,2,0,1,16,66,1,2
511,36,212,2,1,1,0,18,4,2011,2,0,1,16,43,1,1
512,36,213,1,1,1,0,8,5,2011,1,0,1,14,73,1,1
513,36,213,1,2,1,0,8,5,2011,1,0,1,14,70,2,2
514,36,214,0,1,1,0,10,5,2011,3,0,1,14,51,5,2
