obs,statenum,casenum,vnumber,pnumber,atmcond,atmcond2,accday,accmon,caseyear,dayofweek,holiday,numfatal,rfun,age,ptype,sex
273,36,116,1,1,1,0,28,3,2011,2,0,1,13,41,1,2
274,36,116,1,2,1,0,28,3,2011,2,0,1,13,16,2,2
275,36,116,2,1,1,0,28,3,2011,2,0,1,13,67,1,1
276,36,117,0,1,1,0,24,2,2011,5,0,1,16,32,5,2
277,36,117,1,1,1,0,24,2,2011,5,0,1,16,55,1,1
278,36,118,0,1,2,0,19,1,2011,4,0,1,13,25,5,1
279,36,118,1,1,2,0,19,1,2011,4,0,1,13,64,1,1
280,36,119,0,1,1,0,22,1,2011,7,0,1,14,25,5,1
281,36,119,1,1,1,0,22,1,2011,7,0,1,14,64,1,1
282,36,120,1,1,4,0,26,1,2011,4,0,1,13,52,1,1
283,36,120,2,1,4,0,26,1,2011,4,0,1,13,23,1,1
284,36,120,3,1,4,0,26,1,2011,4,0,1,13,42,1,2
285,36,121,1,1,2,0,18,1,2011,3,0,1,2,50,1,1
286,36,121,2,1,2,0,18,1,2011,3,0,1,2,26,1,1
287,36,121,3,1,2,0,18,1,2011,3,0,1,2,55,1,1
288,36,122,1,1,1,0,12,3,2011,7,0,1,2,52,1,1
289,36,123,1,1,1,0,2,4,2011,7,0,1,16,75,1,1
290,36,124,0,1,1,0,16,1,2011,1,2,1,13,34,5,2
291,36,124,1,1,1,0,16,1,2011,1,2,1,13,19,1,2
292,36,124,1,2,1,0,16,1,2011,1,2,1,13,19,2,2
293,36,125,1,1,2,0,31,3,2011,5,0,1,2,31,1,2
294,36,125,2,1,2,0,31,3,2011,5,0,1,2,35,1,1
295,36,126,0,1,2,0,24,2,2011,5,0,1,16,51,5,2
296,36,126,1,1,2,0,24,2,2011,5,0,1,16,999,1,9
297,36,127,1,1,2,0,19,1,2011,4,0,1,13,20,1,2
298,36,127,1,2,2,0,19,1,2011,4,0,1,13,50,2,2
299,36,128,1,1,1,0,3,4,2011,1,0,1,6,38,1,2
300,36,128,1,2,1,0,3,4,2011,1,0,1,6,36,2,1
301,36,129,0,1,1,0,16,1,2011,1,2,1,16,46,8,1
302,36,129,1,1,1,0,16,1,2011,1,2,1,16,60,1,2
303,36,129,1,2,1,0,16,1,2011,1,2,1,16,59,2,2
304,36,130,1,1,10,0,2,4,2011,7,0,1,5,21,1,1
305,36,131,1,1,10,0,23,1,2011,1,0,1,16,46,1,2
306,36,131,1,2,10,0,23,1,2011,1,0,1,16,67,2,2
307,36,131,2,1,10,0,23,1,2011,1,0,1,16,44,1,1
308,36,132,1,1,10,0,14,3,2011,2,0,1,13,27,1,1
309,36,132,1,2,10,0,14,3,2011,2,0,1,13,26,2,1
310,36,132,1,3,10,0,14,3,2011,2,0,1,13,35,2,1
311,36,132,1,4,10,0,14,3,2011,2,0,1,13,999,2,1
312,36,132,1,5,10,0,14,3,2011,2,0,1,13,26,2,1
313,36,133,1,1,2,0,5,4,2011,3,0,1,2,86,1,1
314,36,134,1,1,1,0,3,4,2011,1,0,1,3,64,1,1
