soil,mg,k,ca
Nottingham,34.3,65.6,98.4
Houthalen,4,31,21.4
Rhydtalog,49.4,44.1,214
Zegveld,124,76.7,799
Kovlinge I,37.5,30.2,140
Souli I,13.4,0,72
Kovlinge II,41.1,34.7,218
Montpellier,38.4,23.9,147
