station_european_code	component_code	component_name	component_caption	measurement_unit	measurement_european_group_code	statistics_period	statistics_year	statistics_average_group	statistic_shortname	statistic_name	statistic_value	statistics_percentage_valid	statistics_number_valid	statistics_calculated
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1983	day	P95	95 percentile	75.292	74.247	271	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1983	day	P98	98 percentile	81.375	74.247	271	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1983	day	Max	maximum	92.435	74.247	271	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1983	hour	P50	50 percentile	35.000	75.856	6645	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1983	hour	Mean	annual mean	41.179	75.856	6645	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1983	hour	P95	95 percentile	94.000	75.856	6645	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1983	hour	P98	98 percentile	109.000	75.856	6645	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1983	hour	Max	maximum	148.000	75.856	6645	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1983	hour	Max19	19th highest value	130.000	75.856	6645	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1983	hour	Hours(c > 200)	hours with c > 200 ug/m3	0.000	75.856	6645	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1984	day	P50	50 percentile	40.375	78.689	288	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1984	day	Mean	annual mean	41.810	78.689	288	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1984	day	P95	95 percentile	73.542	78.689	288	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1984	day	P98	98 percentile	77.208	78.689	288	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1984	day	Max	maximum	85.667	78.689	288	Y
