set.trt,date,rep,treat,MES,ORI,AST,PRO,END
1,7/9/2010,4,Rye,0,0,0,0,0
1,7/9/2010,1,CC/Rye,1,0,0,0,0
1,7/9/2010,2,CC/Rye,0,1,0,0,0
1,7/9/2010,3,CC/Rye,0,1,1,1,0
1,7/9/2010,4,CC/Rye,1,3,0,2,0
1,8/26/2010,1,CS,0,0,0,0,0
1,8/26/2010,2,CS,0,2,0,0,0
1,8/26/2010,3,CS,0,2,0,0,0
1,8/26/2010,4,CS,0,2,1,0,0
1,8/26/2010,1,CC,0,0,2,0,0
1,8/26/2010,2,CC,0,0,0,0,0
1,8/26/2010,3,CC,0,0,2,0,0
1,8/26/2010,4,CC,1,2,0,0,0
1,8/26/2010,1,Rye,0,0,0,2,0
1,8/26/2010,2,Rye,0,0,0,0,0
1,8/26/2010,3,Rye,0,0,0,0,0
1,8/26/2010,4,Rye,0,2,0,1,0
1,8/26/2010,1,CC/Rye,0,0,0,1,0
1,8/26/2010,2,CC/Rye,0,0,0,0,0
1,8/26/2010,3,CC/Rye,0,2,0,0,0
1,8/26/2010,4,CC/Rye,0,2,1,0,1
1,5/19/2011,1,CS,0,3,1,0,0
1,5/19/2011,2,CS,3,2,0,1,0
1,5/19/2011,3,CS,0,6,2,1,0
1,5/19/2011,4,CS,0,7,4,1,0
1,5/19/2011,1,CC,0,10,6,1,0
1,5/19/2011,2,CC,1,8,4,6,0
1,5/19/2011,3,CC,2,2,0,0,0
1,5/19/2011,4,CC,0,7,1,0,0
1,5/19/2011,1,Rye,1,5,9,3,0
1,5/19/2011,2,Rye,3,14,0,3,0
1,5/19/2011,3,Rye,5,8,0,13,0
1,5/19/2011,4,Rye,9,14,0,8,1
1,5/19/2011,1,CC/Rye,3,12,3,6,0
1,5/19/2011,2,CC/Rye,4,17,0,3,0
1,5/19/2011,3,CC/Rye,2,2,0,0,0
1,5/19/2011,4,CC/Rye,1,12,0,0,0
1,7/1/2011,1,CS,0,0,1,1,0
1,7/1/2011,2,CS,0,1,0,0,0
1,7/1/2011,3,CS,0,4,0,3,0
1,7/1/2011,4,CS,5,9,0,2,0
1,7/1/2011,1,CC,0,2,1,0,0
1,7/1/2011,2,CC,2,23,0,1,0
1,7/1/2011,3,CC,0,12,0,1,0
1,7/1/2011,4,CC,2,11,1,0,5
1,7/1/2011,1,Rye,0,2,0,1,0
1,7/1/2011,2,Rye,2,17,3,2,0
1,7/1/2011,3,Rye,0,20,0,1,0
1,7/1/2011,4,Rye,1,4,0,0,0
1,7/1/2011,1,CC/Rye,0,5,0,5,0
1,7/1/2011,2,CC/Rye,2,20,3,0,0
1,7/1/2011,3,CC/Rye,2,8,1,1,0
1,7/1/2011,4,CC/Rye,2,9,1,0,1
1,8/22/2011,1,CS,0,0,0,0,5
1,8/22/2011,2,CS,2,7,1,0,0
1,8/22/2011,3,CS,0,1,0,2,0
1,8/22/2011,4,CS,2,2,0,4,0
1,8/22/2011,1,CC,0,3,0,13,0
1,8/22/2011,2,CC,0,30,0,4,0
1,8/22/2011,3,CC,1,12,0,0,0
1,8/22/2011,4,CC,1,20,1,3,0
1,8/22/2011,1,Rye,2,6,0,1,0
1,8/22/2011,2,Rye,5,27,1,9,0
1,8/22/2011,3,Rye,0,24,1,4,0
1,8/22/2011,4,Rye,3,22,1,8,0
1,8/22/2011,1,CC/Rye,7,18,2,21,0
1,8/22/2011,2,CC/Rye,1,52,3,0,0
1,8/22/2011,3,CC/Rye,7,37,1,3,0
1,8/22/2011,4,CC/Rye,1,11,1,0,0

