area.cl,c.cl
10.716,1
23.392,2.5
304.277,25
660.982,50
1026.424,75
1401.214,100
6364.548,436.1
10.979,1
23.812,2.5
306.861,25
667.744,50
1037.761,75
1415.432,100
6420.379,436.1
